Year,CountryOfAsylum,Country of asylum (ISO),RefugeesTotal
2012,Australia,AUS,30061
2012,United Kingdom of Great Britain and Northern Ireland,GBR,149790
2012,Malaysia,MYS,90173
2012,Netherlands (Kingdom of the),NLD,71893
2012,United States of America,USA,262006
2013,Australia,AUS,34485
2013,United Kingdom of Great Britain and Northern Ireland,GBR,126036
2013,Malaysia,MYS,97502
2013,Netherlands (Kingdom of the),NLD,74700
2013,United States of America,USA,263653
2014,Australia,AUS,35565
2014,United Kingdom of Great Britain and Northern Ireland,GBR,117226
2014,Malaysia,MYS,99362
2014,Netherlands (Kingdom of the),NLD,82483
2014,United States of America,USA,267214
2015,Australia,AUS,36917
2015,United Kingdom of Great Britain and Northern Ireland,GBR,123051
2015,Malaysia,MYS,94158
2015,Netherlands (Kingdom of the),NLD,88518
2015,United States of America,USA,273198
2016,Australia,AUS,42187
2016,United Kingdom of Great Britain and Northern Ireland,GBR,118973
2016,Malaysia,MYS,92256
2016,Netherlands (Kingdom of the),NLD,101727
2016,United States of America,USA,272963
2017,Australia,AUS,48480
2017,United Kingdom of Great Britain and Northern Ireland,GBR,121821
2017,Malaysia,MYS,103837
2017,Netherlands (Kingdom of the),NLD,103843
2017,United States of America,USA,287135
2018,Australia,AUS,56934
2018,United Kingdom of Great Britain and Northern Ireland,GBR,126708
2018,Malaysia,MYS,121305
2018,Netherlands (Kingdom of the),NLD,101824
2018,United States of America,USA,313242
2019,Australia,AUS,58529
2019,United Kingdom of Great Britain and Northern Ireland,GBR,133083
2019,Malaysia,MYS,129102
2019,Netherlands (Kingdom of the),NLD,94417
2019,United States of America,USA,341715
2020,Australia,AUS,57411
2020,United Kingdom of Great Britain and Northern Ireland,GBR,132304
2020,Malaysia,MYS,129902
2020,Netherlands (Kingdom of the),NLD,95897
2020,United States of America,USA,340846
2021,Australia,AUS,55606
2021,United Kingdom of Great Britain and Northern Ireland,GBR,137078
2021,Malaysia,MYS,132086
2021,Netherlands (Kingdom of the),NLD,99585
2021,United States of America,USA,339179
2022,Australia,AUS,54430
2022,United Kingdom of Great Britain and Northern Ireland,GBR,328989
2022,Malaysia,MYS,134554
2022,Netherlands (Kingdom of the),NLD,218457
2022,United States of America,USA,363059